Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.645833,3.645833,3.604167,3.645833,0.672067,43200
2000-01-03,3.635417,3.645833,3.572917,3.614583,0.6663060000000001,113200
2000-01-04,3.604167,3.666667,3.5625,3.5625,0.656705,164400
2000-01-05,3.583333,3.583333,3.489583,3.552083,0.6547850000000001,188400
2000-01-06,3.541667,3.552083,3.5,3.5,0.645184,161200
2000-01-07,3.520833,3.645833,3.520833,3.645833,0.672067,106000
2000-01-10,3.6875,3.6875,3.625,3.6875,0.679747,128400
2000-01-11,3.677083,3.6875,3.645833,3.645833,0.672067,127200
2000-01-12,3.625,3.625,3.520833,3.520833,0.6490239999999999,122800
2000-01-13,3.520833,3.59375,3.5,3.572917,0.658625,106000
2000-01-14,3.59375,3.645833,3.583333,3.645833,0.672067,55200
2000-01-18,3.625,3.625,3.583333,3.59375,0.662466,30000
2000-01-19,3.666667,3.666667,3.604167,3.65625,0.673987,97200
2000-01-20,3.677083,3.677083,3.5625,3.59375,0.662466,145600
2000-01-21,3.583333,3.71875,3.541667,3.71875,0.685508,572800
2000-01-24,3.739583,3.854167,3.729167,3.75,0.6912689999999999,180000
2000-01-25,3.708333,3.708333,3.552083,3.5625,0.656705,251200
2000-01-26,3.5625,3.5625,3.489583,3.489583,0.6432640000000001,140800
2000-01-27,3.46875,3.46875,3.375,3.385417,0.6462859999999999,223600
2000-01-28,3.385417,3.427083,3.3125,3.3125,0.632366,192400
2000-01-31,3.3125,3.375,3.28125,3.291667,0.6283890000000001,268000
2000-02-01,3.28125,3.28125,3.229167,3.239583,0.618446,168000
2000-02-02,3.260417,3.28125,3.239583,3.270833,0.624412,171600
2000-02-03,3.291667,3.291667,3.145833,3.15625,0.602538,197200
2000-02-04,3.135417,3.1875,3.072917,3.145833,0.600549,340800
2000-02-07,3.21875,3.21875,3.125,3.1875,0.608504,402400
2000-02-08,3.1875,3.197917,3.0,3.010417,0.5746979999999999,515200
2000-02-09,3.0,3.0,2.90625,2.958333,0.564755,222400
2000-02-10,2.989583,2.989583,2.885417,2.927083,0.558789,207600
2000-02-11,2.90625,2.96875,2.90625,2.927083,0.558789,189600
