Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,34.3125,34.625,34.0625,34.625,16.128994,121200
2000-01-03,34.1875,34.25,33.8125,33.9375,15.80874,61900
2000-01-04,33.75,33.8125,32.9375,33.1875,15.459376999999998,112300
2000-01-05,33.0625,33.5,32.625,33.5,15.604947,259300
2000-01-06,33.375,34.625,33.3125,34.625,16.128994,126500
2000-01-07,35.0,36.0,34.6875,35.5,16.536580999999998,139100
2000-01-10,35.5,35.9375,35.375,35.9375,16.740377,110500
2000-01-11,35.75,35.9375,35.1875,35.1875,16.391023999999998,76500
2000-01-12,35.0625,35.375,35.0625,35.125,16.361898,25000
2000-01-13,35.125,35.1875,34.6875,35.0,16.303673,58100
2000-01-14,35.125,35.25,34.9375,35.0,16.303673,252900
2000-01-18,35.0,35.4375,34.375,34.375,16.012541,194400
2000-01-19,34.625,35.5625,34.625,35.5625,16.565693,68200
2000-01-20,35.3125,35.375,35.0625,35.1875,16.391023999999998,49700
2000-01-21,35.25,35.5,35.125,35.25,16.420134,87100
2000-01-24,35.0625,35.3125,35.0,35.25,16.420134,61400
2000-01-25,35.25,35.3125,35.125,35.25,16.420134,161200
2000-01-26,35.125,35.25,35.0,35.125,16.361898,117900
2000-01-27,35.125,35.1875,34.625,35.1875,16.391023999999998,131200
2000-01-28,35.0625,35.125,34.625,34.75,16.187217999999998,107600
2000-01-31,34.625,34.75,34.375,34.5,16.070757,58100
2000-02-01,34.5,34.625,34.375,34.5,16.070757,60300
2000-02-02,34.5,34.5,34.375,34.5,16.070757,95700
2000-02-03,34.5,34.625,34.0625,34.375,16.012541,121100
2000-02-04,34.3125,34.6875,34.3125,34.5625,16.099874,59300
2000-02-07,34.4375,34.5625,34.25,34.5,16.070757,48800
2000-02-08,34.5,34.5625,34.3125,34.375,16.012541,88500
2000-02-09,34.375,34.6875,34.0625,34.3125,15.983423000000002,351000
2000-02-10,34.4375,34.4375,34.125,34.3125,15.983423000000002,192300
2000-02-11,34.25,34.5,33.9375,34.25,15.954307,115600
2000-02-14,34.125,34.375,33.9375,34.375,16.012541,73000
2000-02-15,34.125,34.25,33.9375,34.25,15.954307,99800
2000-02-16,34.125,34.1875,34.0,34.125,15.896084,183200
2000-02-17,34.0,34.25,34.0,34.25,15.954307,95400
2000-02-18,34.25,34.25,34.0,34.1875,15.925195,66400
2000-02-22,34.0625,34.1875,33.9375,34.1875,15.925195,56500
2000-02-23,34.0625,34.0625,33.9375,34.0,15.837851,79700
2000-02-24,33.9375,33.9375,33.8125,33.9375,15.80874,44900
2000-02-25,33.875,34.0,33.875,34.0,15.837851,35700
2000-02-28,34.0,34.0,33.625,33.75,15.721395999999999,61300
2000-02-29,33.25,33.875,33.25,33.75,15.721395999999999,289100
2000-03-01,33.4375,34.25,33.4375,34.25,15.954307,280300
2000-03-02,34.125,34.375,33.9375,33.9375,15.80874,84200
2000-03-03,34.0625,34.25,34.0625,34.25,15.954307,104800
2000-03-06,34.25,34.25,34.0,34.125,15.896084,118700
2000-03-07,34.125,34.5,34.0,34.5,16.070757,74300
2000-03-08,34.5,34.5,33.9375,34.125,15.896084,51300
2000-03-09,34.25,34.375,33.9375,34.0,15.837851,70500
2000-03-10,33.9375,34.4375,33.9375,34.4375,16.041653,48000
2000-03-13,34.4375,34.5,34.1875,34.25,15.954307,180600
2000-03-14,34.25,34.25,34.0,34.0,15.837851,88000
2000-03-15,34.125,34.3125,33.875,34.3125,15.983423000000002,147600
2000-03-16,34.375,34.75,34.375,34.6875,16.158104,432600
2000-03-17,34.9375,35.0625,34.5,34.8125,16.216333,279800
2000-03-20,34.625,35.3125,34.5625,35.3125,16.449242,148700
2000-03-21,35.1875,35.3125,34.9375,35.1875,16.391023999999998,77800
2000-03-22,35.125,35.4375,35.0,35.25,16.420134,240400
2000-03-23,35.125,36.0,35.125,36.0,16.769493,88900
2000-03-24,35.875,35.9375,35.5625,35.75,16.653038000000002,113200
2000-03-27,35.625,35.875,35.5625,35.75,16.653038000000002,126200
2000-03-28,35.875,36.0625,35.875,36.0625,16.798607,185600
2000-03-29,36.0,36.5,36.0,36.5,17.002403,186500
2000-03-30,35.8125,36.375,35.8125,36.375,17.208195,219200
2000-03-31,36.5625,36.6875,36.375,36.625,17.326458,236800
2000-04-03,36.5625,36.5625,36.375,36.375,17.208195,5891200
2000-04-04,36.125,36.5625,36.125,36.5,17.267323,378600
2000-04-05,36.5,36.8125,36.1875,36.8125,17.415171,148800
2000-04-06,36.9375,37.0,36.8125,37.0,17.503868,191100
2000-04-07,37.0,37.5,37.0,37.4375,17.710831,94000
2000-04-10,37.4375,37.625,37.375,37.5,17.7404,209700
2000-04-11,37.875,37.9375,37.25,37.8125,17.888241,273800
2000-04-12,37.75,37.9375,37.5,37.625,17.79954,137900
2000-04-13,37.875,37.9375,37.6875,37.875,17.917809,87800
2000-04-14,37.875,37.875,37.75,37.875,17.917809,281000
2000-04-17,37.625,37.9375,36.5,36.8125,17.415171,295100
2000-04-18,37.3125,37.875,37.0625,37.875,17.917809,152600
2000-04-19,37.75,38.0,37.625,38.0,17.976936,106800
2000-04-20,38.125,38.125,37.8125,37.8125,17.888241,217500
2000-04-24,37.875,37.9375,37.75,37.9375,17.947378,97600
2000-04-25,37.9375,38.125,37.875,38.0625,18.006510000000002,171500
2000-04-26,38.125,38.25,37.9375,38.25,18.095209,166000
2000-04-27,38.375,39.0,38.25,38.8125,18.361309,286600
2000-04-28,38.875,39.3125,38.6875,39.125,18.509145999999998,147300
2000-05-01,39.125,39.4375,39.0625,39.4375,18.656994,262200
2000-05-02,39.6875,40.25,39.625,39.8125,18.834398,236400
2000-05-03,40.0,40.125,39.8125,40.0,18.923101000000003,246300
2000-05-04,40.0,40.125,39.6875,40.0625,18.952662,202500
2000-05-05,40.3125,40.4375,40.0,40.125,18.982236999999998,103600
2000-05-08,40.0,40.3125,40.0,40.3125,19.07094,55400
2000-05-09,40.3125,40.625,40.25,40.5625,19.189201,109100
2000-05-10,40.6875,40.6875,40.0,40.25,19.041367,214300
2000-05-11,40.5,40.5312,40.125,40.1875,19.011803,84200
2000-05-12,40.1875,40.6875,40.125,40.6875,19.248337,71200
2000-05-15,40.5625,40.875,40.5,40.875,19.337035999999998,73900
2000-05-16,40.75,40.875,40.6875,40.8125,19.307474,269000
2000-05-17,40.6875,40.875,40.5,40.5,19.159634,64700
